model,split,mae_kw,mae_kw_std,rmse_kw,rmse_kw_std,mape_percent,mape_percent_std,r2,r2_std,inference_ms_per_sample,inference_ms_per_sample_std,run_count,horizon_mae,horizon_rmse
persistence,validation,0.513187473298343,0.10878298361331687,0.7425058180031973,0.12729753267785743,81.5222388136352,11.076931983975273,-0.685678760077176,0.0401696325815034,0.00032619047635942854,2.996785860569271e-05,2,"{'h_plus_1': 0.3065404857593156, 'h_plus_1_std': 0.03618831689733604, 'h_plus_6': 0.5623954415138488, 'h_plus_6_std': 0.12823146767854382, 'h_plus_12': 0.47121651300931017, 'h_plus_12_std': 0.1252723324259698, 'h_plus_24': 0.40396341426175414, 'h_plus_24_std': 0.07872626233064206}","{'h_plus_1': 0.4867314876326765, 'h_plus_1_std': 0.04499345890555705, 'h_plus_6': 0.8007544171525077, 'h_plus_6_std': 0.14462060366176668, 'h_plus_12': 0.698946425243925, 'h_plus_12_std': 0.1372446783415235, 'h_plus_24': 0.6101402976551007, 'h_plus_24_std': 0.08177565331899392}"
persistence,test,0.7324961463713858,0.20136631619262754,0.9913980615886588,0.22468925377017024,101.69941025357343,17.45789751671245,-0.8096963698978914,0.13521775320004709,0.00030892857152832134,0.00010780572423812255,2,"{'h_plus_1': 0.4015437926376224, 'h_plus_1_std': 0.09816664816025866, 'h_plus_6': 0.8287518265914203, 'h_plus_6_std': 0.24845334452282852, 'h_plus_12': 0.6812414410426704, 'h_plus_12_std': 0.17174776923524146, 'h_plus_24': 0.5404156044240714, 'h_plus_24_std': 0.11424627561241969}","{'h_plus_1': 0.6050773014188797, 'h_plus_1_std': 0.12237279600097233, 'h_plus_6': 1.0856771047298412, 'h_plus_6_std': 0.25832092533789064, 'h_plus_12': 0.9291369984436932, 'h_plus_12_std': 0.1882939522080254, 'h_plus_24': 0.7896800422713769, 'h_plus_24_std': 0.17213188850234576}"
seasonal_naive_24h,validation,0.4031721036356518,0.07317226281091742,0.609935729639276,0.07774876591213152,57.21103479696192,5.149083019453392,-0.1458593780787991,0.07403687838520442,0.0005428571429302027,0.00010326003762685278,2,"{'h_plus_1': 0.4013930703464102, 'h_plus_1_std': 0.06555589345477028, 'h_plus_6': 0.403315557118897, 'h_plus_6_std': 0.06942500217874846, 'h_plus_12': 0.40291080844164834, 'h_plus_12_std': 0.07353847428586531, 'h_plus_24': 0.40396341426175414, 'h_plus_24_std': 0.07872626233064206}","{'h_plus_1': 0.6077506103375876, 'h_plus_1_std': 0.06902604483691485, 'h_plus_6': 0.6110555778775665, 'h_plus_6_std': 0.07460942269177423, 'h_plus_12': 0.6096111914667484, 'h_plus_12_std': 0.07869695091889785, 'h_plus_24': 0.6101402976551007, 'h_plus_24_std': 0.08177565331899392}"
seasonal_naive_24h,test,0.5382259318050238,0.11782269263661393,0.7882853228493725,0.17447564764931145,67.0176714007693,8.719595466915429,-0.145184476614959,0.0730824235817763,0.0004767857143676901,9.489821947096537e-05,2,"{'h_plus_1': 0.536908435111902, 'h_plus_1_std': 0.12609177330652532, 'h_plus_6': 0.5371176017785687, 'h_plus_6_std': 0.11979966405220988, 'h_plus_12': 0.5376190568050238, 'h_plus_12_std': 0.11696775751314352, 'h_plus_24': 0.5404156044240714, 'h_plus_24_std': 0.11424627561241969}","{'h_plus_1': 0.7865030671244819, 'h_plus_1_std': 0.18376810385862172, 'h_plus_6': 0.7876662323959532, 'h_plus_6_std': 0.17515576018771745, 'h_plus_12': 0.7879848752745772, 'h_plus_12_std': 0.17356153189258378, 'h_plus_24': 0.7896800422713769, 'h_plus_24_std': 0.17213188850234576}"
seasonal_naive_168h,validation,0.4943531503512904,0.06501918608724819,0.6904698412737217,0.05969628499505261,78.05827150856264,8.418249104563143,-0.48131722993918125,0.21715720975331396,0.000621587301497678,5.8588847869949585e-05,2,"{'h_plus_1': 0.4934825750573958, 'h_plus_1_std': 0.05784481785224913, 'h_plus_6': 0.49391420486433946, 'h_plus_6_std': 0.05998838425038327, 'h_plus_12': 0.493291261693532, 'h_plus_12_std': 0.06561054717312349, 'h_plus_24': 0.4964160376486433, 'h_plus_24_std': 0.07263079051044115}","{'h_plus_1': 0.6908395849425037, 'h_plus_1_std': 0.05208960344170367, 'h_plus_6': 0.6910365159415572, 'h_plus_6_std': 0.0536562266593127, 'h_plus_12': 0.6890556664722352, 'h_plus_12_std': 0.06047713957355491, 'h_plus_24': 0.6919987728774051, 'h_plus_24_std': 0.06725868647086315}"
seasonal_naive_168h,test,0.6137499817852264,0.10383343223099843,0.8548644466017241,0.17279279544078077,77.64740380055078,7.837194419551618,-0.3512312478006987,0.033187849538447736,0.0005249206348404793,0.00014411509634954306,2,"{'h_plus_1': 0.6134947497525987, 'h_plus_1_std': 0.11187802725159593, 'h_plus_6': 0.6136650804404293, 'h_plus_6_std': 0.10936492809537603, 'h_plus_12': 0.6137987444615933, 'h_plus_12_std': 0.10481276932491086, 'h_plus_24': 0.6146994719748209, 'h_plus_24_std': 0.09464724651770647}","{'h_plus_1': 0.8542500029225222, 'h_plus_1_std': 0.17900762589869465, 'h_plus_6': 0.8544575527290775, 'h_plus_6_std': 0.17745601994267107, 'h_plus_12': 0.8547763041737082, 'h_plus_12_std': 0.17388723382898624, 'h_plus_24': 0.8559588534013827, 'h_plus_24_std': 0.16461588309393088}"
random_forest,validation,0.458703641377896,0.05399484998175104,0.5791186062284361,0.01764935746455568,89.11587430883702,38.637222157727,-0.08126583903484169,0.3406954380064774,0.5058206944444543,0.0887980847209289,4,"{'h_plus_1': 0.3566159827474781, 'h_plus_1_std': 0.04105717784246435, 'h_plus_6': 0.45719182592004404, 'h_plus_6_std': 0.05442821498397302, 'h_plus_12': 0.4623896208227551, 'h_plus_12_std': 0.04640403429222488, 'h_plus_24': 0.4752417199864981, 'h_plus_24_std': 0.0691564092802854}","{'h_plus_1': 0.46357347239027463, 'h_plus_1_std': 0.00952964492790894, 'h_plus_6': 0.5777743922705227, 'h_plus_6_std': 0.016608910957599553, 'h_plus_12': 0.5787921272156566, 'h_plus_12_std': 0.0054928762974528955, 'h_plus_24': 0.6043648626244175, 'h_plus_24_std': 0.04114687691989706}"
random_forest,test,0.4916273845053888,0.03719960728058215,0.6507755498532599,0.08488713109309363,69.30931882844831,10.01502335098406,0.21023958148788507,0.03960837359057828,0.41563261904756804,0.041482067320322495,4,"{'h_plus_1': 0.3784462788358581, 'h_plus_1_std': 0.03096954246170466, 'h_plus_6': 0.5005738436194773, 'h_plus_6_std': 0.038076094210318844, 'h_plus_12': 0.5069511872047525, 'h_plus_12_std': 0.035097813534686745, 'h_plus_24': 0.4943736011200097, 'h_plus_24_std': 0.031851489802990976}","{'h_plus_1': 0.5215837876402214, 'h_plus_1_std': 0.0727498925926987, 'h_plus_6': 0.6540672036120726, 'h_plus_6_std': 0.0847435576190915, 'h_plus_12': 0.6612752934256012, 'h_plus_12_std': 0.08241284292229663, 'h_plus_24': 0.6580131290228468, 'h_plus_24_std': 0.08238244580513507}"
xgboost,validation,0.43966024489581623,0.03536903780496186,0.5620887089114299,0.0022220164764777495,82.37882464243242,32.05462616443688,-0.00451801049703951,0.2518521853488925,0.1974991269842049,0.02012018791968607,4,"{'h_plus_1': 0.2951676582058377, 'h_plus_1_std': 0.018492957958850944, 'h_plus_6': 0.45081812443782365, 'h_plus_6_std': 0.046644214090545956, 'h_plus_12': 0.44746382593132084, 'h_plus_12_std': 0.0443554810206437, 'h_plus_24': 0.464107054983534, 'h_plus_24_std': 0.05213011451620768}","{'h_plus_1': 0.40402971788053443, 'h_plus_1_std': 0.0076326292408419845, 'h_plus_6': 0.5703899788118784, 'h_plus_6_std': 0.005726856290149703, 'h_plus_12': 0.5714973400900656, 'h_plus_12_std': 0.008035312429119933, 'h_plus_24': 0.5749438759985481, 'h_plus_24_std': 0.004779259795485632}"
xgboost,test,0.4855262817904107,0.04618115238529151,0.6475303038398884,0.09655863621861015,66.23521540444463,8.703300750441924,0.22188156994785,0.009602392139774828,0.17761914682532662,0.017364200024468777,4,"{'h_plus_1': 0.33387910363480816, 'h_plus_1_std': 0.029117291283196935, 'h_plus_6': 0.4984439689706756, 'h_plus_6_std': 0.030519056923261376, 'h_plus_12': 0.49207154415504384, 'h_plus_12_std': 0.04884073808542301, 'h_plus_24': 0.5036269359128205, 'h_plus_24_std': 0.029001147258392045}","{'h_plus_1': 0.4759245623231633, 'h_plus_1_std': 0.06562032140597003, 'h_plus_6': 0.6539086518686066, 'h_plus_6_std': 0.0864338706933956, 'h_plus_12': 0.6566486316481752, 'h_plus_12_std': 0.09834646243510048, 'h_plus_24': 0.6580980502425862, 'h_plus_24_std': 0.08345333599086319}"
