model,split,mae_kw,mae_kw_std,rmse_kw,rmse_kw_std,mape_percent,mape_percent_std,r2,r2_std,inference_ms_per_sample,inference_ms_per_sample_std,run_count,horizon_mae,horizon_rmse
persistence,validation,0.7450194645752312,0.22491958947404708,0.9979326829907449,0.2665785268096969,102.54485801751726,19.502469896097825,-0.8020763402040805,0.16235022659114692,0.0003989359644670627,7.46663724249881e-05,3,"{'h_plus_1': 0.3948226178882582, 'h_plus_1_std': 0.07458228398635154, 'h_plus_6': 0.831639989485339, 'h_plus_6_std': 0.26009355485943175, 'h_plus_12': 0.7339444670695464, 'h_plus_12_std': 0.25950243361800235, 'h_plus_24': 0.5700904542071689, 'h_plus_24_std': 0.17650118638725806}","{'h_plus_1': 0.6024822797724375, 'h_plus_1_std': 0.10223946691243083, 'h_plus_6': 1.0735512410546917, 'h_plus_6_std': 0.2874371863062157, 'h_plus_12': 0.9874734561771624, 'h_plus_12_std': 0.3022579560535128, 'h_plus_24': 0.8237945356941191, 'h_plus_24_std': 0.22742373004505193}"
persistence,test,0.6945269206073884,0.16240698110519816,0.9333050447821577,0.18033324688031785,99.84593461273074,16.04234040572482,-0.8068093172727021,0.16379812341017141,0.000351170439378386,3.560101698435217e-05,3,"{'h_plus_1': 0.3883741052974436, 'h_plus_1_std': 0.06624029981197696, 'h_plus_6': 0.784250846364627, 'h_plus_6_std': 0.2015351704466536, 'h_plus_12': 0.6509283793103825, 'h_plus_12_std': 0.16295273860957046, 'h_plus_24': 0.5121111357342414, 'h_plus_24_std': 0.10018983836928735}","{'h_plus_1': 0.5861320596421966, 'h_plus_1_std': 0.08123800686570372, 'h_plus_6': 1.0158215808693223, 'h_plus_6_std': 0.2100499383583969, 'h_plus_12': 0.8841355414780977, 'h_plus_12_std': 0.16787738881463715, 'h_plus_24': 0.7527704570234142, 'h_plus_24_std': 0.12818530181079518}"
seasonal_naive_24h,validation,0.5704460671092062,0.17324216671860407,0.8235385634052564,0.2225849463049071,70.16023436219216,13.133275772016937,-0.22506065933789177,0.07823193937597867,0.0006116656994426257,6.51330210333301e-05,3,"{'h_plus_1': 0.5715357354196519, 'h_plus_1_std': 0.1701962853605683, 'h_plus_6': 0.570850638366708, 'h_plus_6_std': 0.17280793446360818, 'h_plus_12': 0.5704776326273645, 'h_plus_12_std': 0.1726720536514447, 'h_plus_24': 0.5700904542071689, 'h_plus_24_std': 0.17650118638725806}","{'h_plus_1': 0.8246147292033918, 'h_plus_1_std': 0.2187020411738776, 'h_plus_6': 0.8239702962405162, 'h_plus_6_std': 0.22189881530573474, 'h_plus_12': 0.8234851326958648, 'h_plus_12_std': 0.22180774113027307, 'h_plus_24': 0.8237945356941191, 'h_plus_24_std': 0.22742373004505193}"
seasonal_naive_24h,test,0.5148733021394758,0.10083282505244774,0.7564563892725986,0.13012421012955933,66.6526264595965,8.20811276545774,-0.19151025632769544,0.06757863493465548,0.0005972915454727781,4.939957652745989e-05,3,"{'h_plus_1': 0.5158142334844952, 'h_plus_1_std': 0.09888855511639703, 'h_plus_6': 0.5152728263780272, 'h_plus_6_std': 0.10080201161096082, 'h_plus_12': 0.5159349918516842, 'h_plus_12_std': 0.10160326795348337, 'h_plus_24': 0.5121111357342414, 'h_plus_24_std': 0.10018983836928735}","{'h_plus_1': 0.7590239390054214, 'h_plus_1_std': 0.1297249882991719, 'h_plus_6': 0.7574139165650725, 'h_plus_6_std': 0.1306545200820593, 'h_plus_12': 0.757280957970566, 'h_plus_12_std': 0.13078731371544783, 'h_plus_24': 0.7527704570234142, 'h_plus_24_std': 0.12818530181079518}"
seasonal_naive_168h,validation,0.580200039855585,0.1449121402341726,0.824816866732553,0.18826453870391316,75.93467824736723,7.7407247410530715,-0.24712147438544826,0.05879133516475093,0.0007014509576337577,0.00020658205465545821,3,"{'h_plus_1': 0.5825455274982431, 'h_plus_1_std': 0.14212855778930378, 'h_plus_6': 0.5809927642300415, 'h_plus_6_std': 0.14421009802800508, 'h_plus_12': 0.580270296957197, 'h_plus_12_std': 0.14650083172029982, 'h_plus_24': 0.5787511285176056, 'h_plus_24_std': 0.14514216230943106}","{'h_plus_1': 0.8276288677246696, 'h_plus_1_std': 0.1853162601183021, 'h_plus_6': 0.8257640734618005, 'h_plus_6_std': 0.1872468200478134, 'h_plus_12': 0.824357170680264, 'h_plus_12_std': 0.1895840028759574, 'h_plus_24': 0.8238971752630003, 'h_plus_24_std': 0.18964214356057293}"
seasonal_naive_168h,test,0.5438523449061735,0.08791233404112045,0.7842486128958698,0.12557261058147517,75.07195081732367,6.663330572127719,-0.2851044650290471,0.06223421441212744,0.000670245695768611,7.516929266802686e-05,3,"{'h_plus_1': 0.544667670259358, 'h_plus_1_std': 0.08393579703246046, 'h_plus_6': 0.5433323829697468, 'h_plus_6_std': 0.08547673926679858, 'h_plus_12': 0.5447676767080586, 'h_plus_12_std': 0.09047551784559779, 'h_plus_24': 0.5420423200275944, 'h_plus_24_std': 0.08743230619810528}","{'h_plus_1': 0.7862696831183799, 'h_plus_1_std': 0.12253548786507752, 'h_plus_6': 0.7840323597739415, 'h_plus_6_std': 0.12296419986237418, 'h_plus_12': 0.7848501130839511, 'h_plus_12_std': 0.12823674659272188, 'h_plus_24': 0.7821264222101978, 'h_plus_24_std': 0.12486153951875596}"
random_forest,validation,0.4499669861062242,0.09064455274933762,0.6129694569190202,0.1289876834719683,58.105536385107094,4.240252253261379,0.31459114238222974,0.016483197322548923,0.4181224350293374,0.1757127928095472,9,"{'h_plus_1': 0.34894286475579783, 'h_plus_1_std': 0.06270696383464222, 'h_plus_6': 0.45011355245991713, 'h_plus_6_std': 0.09225237852611948, 'h_plus_12': 0.45895775441691317, 'h_plus_12_std': 0.09604060774477975, 'h_plus_24': 0.45603585675833735, 'h_plus_24_std': 0.09466040768117877}","{'h_plus_1': 0.5055090408646326, 'h_plus_1_std': 0.09087490180635886, 'h_plus_6': 0.6150230832597056, 'h_plus_6_std': 0.1278277856429135, 'h_plus_12': 0.6194979228872547, 'h_plus_12_std': 0.13371070428583187, 'h_plus_24': 0.6221297718243795, 'h_plus_24_std': 0.1366519943733484}"
random_forest,test,0.42189149213506416,0.052340886281478816,0.5750937515937785,0.07651347975208572,58.174513041692926,3.824251457557753,0.308481058523519,0.013794338818099208,0.39674309021736176,0.10854532789230727,9,"{'h_plus_1': 0.32797339043705587, 'h_plus_1_std': 0.03565818894879237, 'h_plus_6': 0.42370028566635926, 'h_plus_6_std': 0.05521579404861751, 'h_plus_12': 0.43241584896497853, 'h_plus_12_std': 0.05554231300755583, 'h_plus_24': 0.4230996638149185, 'h_plus_24_std': 0.047892570575607245}","{'h_plus_1': 0.47430014443860447, 'h_plus_1_std': 0.049243300542411765, 'h_plus_6': 0.5798549875016268, 'h_plus_6_std': 0.07630339834304868, 'h_plus_12': 0.5838542398609964, 'h_plus_12_std': 0.08042162248610958, 'h_plus_24': 0.5779775956652429, 'h_plus_24_std': 0.0756805217876983}"
xgboost,validation,0.4525798627106687,0.08770557012827901,0.612790245258436,0.1292631855384296,58.72444144686296,5.148568023745517,0.3146833083653098,0.024875075438728956,0.2834260978908891,0.00937186790344879,9,"{'h_plus_1': 0.3343705475383256, 'h_plus_1_std': 0.05514785705062818, 'h_plus_6': 0.4563510451246519, 'h_plus_6_std': 0.08772525734625895, 'h_plus_12': 0.46581201710647757, 'h_plus_12_std': 0.09222371356877376, 'h_plus_24': 0.4647826127542969, 'h_plus_24_std': 0.0912131322672068}","{'h_plus_1': 0.48739436088836485, 'h_plus_1_std': 0.08366471729302288, 'h_plus_6': 0.6174789060898994, 'h_plus_6_std': 0.12840283193224125, 'h_plus_12': 0.6239723451012319, 'h_plus_12_std': 0.13476176579911608, 'h_plus_24': 0.6251010399633983, 'h_plus_24_std': 0.13432698045521094}"
xgboost,test,0.4219681487127384,0.04670137467999567,0.572624538336923,0.07356951010444947,58.477545305988315,4.576600581715315,0.31337693581893505,0.022045634040808646,0.28591650867330676,0.013007235564960484,9,"{'h_plus_1': 0.31345946373321765, 'h_plus_1_std': 0.02932329123836638, 'h_plus_6': 0.42564696667626817, 'h_plus_6_std': 0.0502287512251245, 'h_plus_12': 0.43476693311250575, 'h_plus_12_std': 0.05130937119689861, 'h_plus_24': 0.4262889300606212, 'h_plus_24_std': 0.04673152722340053}","{'h_plus_1': 0.4558065077928878, 'h_plus_1_std': 0.04382013155626015, 'h_plus_6': 0.5781438506733075, 'h_plus_6_std': 0.07679343191968745, 'h_plus_12': 0.5835281076658885, 'h_plus_12_std': 0.0807148487305523, 'h_plus_24': 0.5788054157064857, 'h_plus_24_std': 0.07578437720250036}"
